,material,vbm_cubic,cbm_cubic,vbm_k_pbe,cbm_k_pbe,gap_cubic,vbm_I4,cbm_I4,angle_0,gap_I4,vbm_pnma,cbm_pnma,angle_a,angle_c,gap_pnma,gap_cubic_I4,vb_cubic_I4,cb_cubic_I4,gap_cubic_pnma,vb_cubic_pnma,cb_cubic_pnma
0,AgAsO,4.8328,3.1112,10,1,-1.7215999999999996,5.724,5.5158,150.62598731403082,-0.2082000000000006,5.1576,5.2484,153.80576940785437,151.52676229589332,0.09079999999999977,1.513399999999999,0.8912000000000004,2.4045999999999994,1.8123999999999993,0.32480000000000064,2.1372
1,AgNbO,2.3086,4.9059,10,4,2.5972999999999997,3.2454,5.1545,152.67033938830113,1.9090999999999996,3.0655,5.2667,154.42267806983895,157.53625553268125,2.2012,0.6882000000000001,0.9367999999999999,0.2485999999999997,0.3960999999999997,0.7568999999999999,0.36080000000000023
2,AgPO,7.3203,5.5629,4,1,-1.7573999999999996,7.7441,8.0229,160.58170063934884,0.2787999999999995,5.0744,6.511,157.90807342962646,146.4887890994169,1.4366000000000003,2.036199999999999,0.42380000000000084,2.46,3.194,-2.2459,0.9481000000000002
3,AgSbO,4.8459,5.1723,10,1,0.3263999999999996,5.8799,6.2309,148.8428225382754,0.351,5.6178,6.2757,153.38554074581498,146.91952579876772,0.6578999999999997,0.0246000000000004,1.0339999999999998,1.0586000000000002,0.33150000000000013,0.7718999999999996,1.1033999999999997
4,AgTaO,2.5904,6.0246,10,4,3.4342000000000006,3.3393,6.2229,155.5245134833211,2.8836,3.1168,6.3392,158.07697774183686,158.1665044403572,3.2224,0.5506000000000006,0.7489000000000003,0.1982999999999997,0.21180000000000065,0.5264000000000002,0.31459999999999955
5,AgVO,3.8214,4.4514,10,4,0.6299999999999994,4.7807,4.9038,153.63264494403856,0.12309999999999999,4.8026,4.8833,153.5500266311628,178.2989380966246,0.08070000000000022,0.5068999999999995,0.9593000000000003,0.4524000000000008,0.5492999999999992,0.9811999999999999,0.4319000000000006
6,AuAsO,,,0,0,,6.5809,5.5779,138.040735752413,-1.0030000000000001,6.9033,6.1192,138.87218346311383,179.92845240656803,-0.7840999999999996,,,,,,
7,AuNbO,2.8598,4.322,4,1,1.4622000000000002,4.5183,5.2947,149.5500499021079,0.7763999999999998,3.8632,5.3697,155.46276585750962,154.17468927432185,1.5065,0.6858000000000004,1.6585,0.9726999999999997,0.044299999999999784,1.0034,1.0476999999999999
8,AuPO,7.8498,5.4209,4,1,-2.4289000000000005,8.9422,6.2919,157.49477988137141,-2.6502999999999997,5.3189,4.6565,112.98288088208015,31.80483894441297,-0.6623999999999999,0.22139999999999915,1.0923999999999996,0.8710000000000004,1.7665000000000006,-2.5309,-0.7643999999999993
9,AuSbO,5.4919,4.9249,10,1,-0.5670000000000002,6.9551,6.6959,145.196456785899,-0.2591999999999999,6.3422,6.2767,152.38918962076445,143.74959554548343,-0.06550000000000011,0.3078000000000003,1.4631999999999996,1.771,0.5015000000000001,0.8502999999999998,1.3518
10,AuTaO,3.1783,4.6186,4,1,1.4402999999999997,4.4635,6.1614,153.6559188587115,1.6979000000000006,4.0663,6.2933,159.25570080650292,152.19035418386142,2.2270000000000003,0.25760000000000094,1.2851999999999997,1.5428000000000006,0.7867000000000006,0.8879999999999999,1.6747000000000005
11,AuVO,,,0,0,,6.2531,7.224,147.08382661784404,0.9709000000000003,,,147.0450461888141,37.29013366918478,,,,,,,
12,BaGeO,2.8384,3.62,20,1,0.7816000000000001,2.8391,3.6182,179.9766860284095,0.7790999999999997,2.8419,3.6175,179.9539960612455,179.9319722410365,0.7756000000000003,0.002500000000000391,0.000700000000000145,-0.0018000000000002458,0.005999999999999783,0.0034999999999998366,-0.0024999999999999467
13,BaHfO,1.4395,6.5599,20,1,5.1204,1.4399,6.56,179.96419438759514,5.1201,1.4479,6.5601,179.90894126343056,179.9356991990539,5.1122000000000005,0.000300000000000189,0.00039999999999995595,9.999999999976694e-05,0.008199999999999541,0.008399999999999963,0.00020000000000042206
